0	-1	0	0
0.1	-0.996909	-0.0899166	0
0.2	-0.988233	-0.17933	0
0.3	-0.974077	-0.26775	0
0.4	-0.954611	-0.354712	0
0.5	-0.930065	-0.439789	0
0.6	-0.900719	-0.522599	0
0.7	-0.866889	-0.602811	0
0.8	-0.828918	-0.680146	0
0.9	-0.787166	-0.754383	0
1	-0.741998	-0.82535	0
1.1	-0.693776	-0.892925	0
1.2	-0.642854	-0.95703	0
1.3	-0.589571	-1.01762	0
1.4	-0.534247	-1.0747	0
1.5	-0.477184	-1.12829	0
1.6	-0.418659	-1.17842	0
1.7	-0.358929	-1.22517	0
1.8	-0.298226	-1.2686	0
1.9	-0.236764	-1.30881	0
2	-0.174734	-1.3459	0
2.1	-0.11231	-1.37995	0
2.2	-0.049646	-1.41109	0
2.3	0.0131181	-1.4394	0
2.4	0.0758586	-1.465	0
2.5	0.138465	-1.48798	0
2.6	0.200839	-1.50846	0
2.7	0.262893	-1.52654	0
2.8	0.32455	-1.5423	0
2.9	0.385742	-1.55584	0
3	0.446407	-1.56726	0
3.1	0.506493	-1.57665	0
3.2	0.565951	-1.58408	0
3.3	0.624742	-1.58964	0
3.4	0.682827	-1.5934	0
3.5	0.740176	-1.59544	0
3.6	0.79676	-1.59584	0
3.7	0.852555	-1.59465	0
3.8	0.907538	-1.59194	0
3.9	0.961692	-1.58778	0
4	1.015	-1.58223	0
4.1	1.06745	-1.57533	0
4.2	1.11903	-1.56715	0
4.3	1.16973	-1.55773	0
4.4	1.21953	-1.54713	0
4.5	1.26844	-1.53539	0
4.6	1.31645	-1.52255	0
4.7	1.36355	-1.50867	0
4.8	1.40974	-1.49377	0
4.9	1.45501	-1.47791	0
5	1.49937	-1.46111	0
5.1	1.5428	-1.44342	0
5.2	1.58532	-1.42487	0
5.3	1.62691	-1.40549	0
5.4	1.66759	-1.38531	0
5.5	1.70734	-1.36437	0
5.6	1.74618	-1.3427	0
5.7	1.78409	-1.32031	0
5.8	1.82109	-1.29725	0
5.9	1.85717	-1.27354	0
6	1.89234	-1.2492	0
6.1	1.92659	-1.22425	0
6.2	1.95993	-1.19873	0
6.3	1.99237	-1.17265	0
6.4	2.02389	-1.14603	0
6.5	2.05451	-1.11891	0
6.6	2.08423	-1.09129	0
6.7	2.11305	-1.0632	0
6.8	2.14097	-1.03466	0
6.9	2.168	-1.00569	0
7	2.19413	-0.976299	0
7.1	2.21937	-0.946515	0
7.2	2.24373	-0.916352	0
7.3	2.26719	-0.885826	0
7.4	2.28977	-0.854955	0
7.5	2.31147	-0.823754	0
7.6	2.33229	-0.79224	0
7.7	2.35224	-0.760428	0
7.8	2.3713	-0.728333	0
7.9	2.38949	-0.695969	0
8	2.40682	-0.663352	0
8.1	2.42327	-0.630494	0
8.2	2.43885	-0.597411	0
8.3	2.45357	-0.564115	0
8.4	2.46742	-0.530621	0
8.5	2.48041	-0.496941	0
8.6	2.49253	-0.463088	0
8.7	2.5038	-0.429075	0
8.8	2.51421	-0.394915	0
8.9	2.52375	-0.36062	0
9	2.53245	-0.326203	0
9.1	2.54028	-0.291676	0
9.2	2.54727	-0.257051	0
9.3	2.55339	-0.222339	0
9.4	2.55867	-0.187553	0
9.5	2.56309	-0.152705	0
9.6	2.56667	-0.117806	0
9.7	2.56939	-0.0828676	0
9.8	2.57126	-0.047902	0
9.9	2.57228	-0.0129205	0
10	2.57245	0.0220652	0
